Dim_06_id,value_dim06
Dim_06_001,100202
Dim_06_002,50334
Dim_06_003,30004
Dim_06_004,340040
Dim_06_005,50223
Dim_06_006,450050
Dim_06_007,200022
Dim_06_008,223232
Dim_06_009,318726.11
Dim_06_010,349440.05
Dim_06_011,380153.99
Dim_06_012,410867.93
Dim_06_013,441581.87
Dim_06_014,472295.81
Dim_06_015,503009.75
Dim_06_016,533723.69
Dim_06_017,564437.63
Dim_06_018,595151.57
Dim_06_019,625865.51
Dim_06_020,656579.45
Dim_06_021,687293.39
Dim_06_022,718007.33
Dim_06_023,748721.27
Dim_06_024,779435.21
Dim_06_025,810149.15
Dim_06_026,840863.1
Dim_06_027,871577.04
Dim_06_028,902290.98
Dim_06_029,933004.92
Dim_06_030,963718.86
Dim_06_031,994432.8
Dim_06_032,1025146.74
Dim_06_033,1055860.68
Dim_06_034,1086574.62
Dim_06_035,1117288.56
Dim_06_036,1148002.5
Dim_06_037,1178716.44
Dim_06_038,1209430.38
Dim_06_039,1240144.32
Dim_06_040,1270858.26
Dim_06_041,1301572.2
Dim_06_042,1332286.14
Dim_06_043,1363000.08
Dim_06_044,1393714.02
Dim_06_045,1424427.96
Dim_06_046,1455141.9
Dim_06_047,1485855.85
Dim_06_048,1516569.79
Dim_06_049,1547283.73
Dim_06_050,1577997.67
Dim_06_051,1608711.61
Dim_06_052,1639425.55
Dim_06_053,1670139.49
Dim_06_054,1700853.43
Dim_06_055,1731567.37
Dim_06_056,1762281.31
Dim_06_057,1792995.25
Dim_06_058,1823709.19
Dim_06_059,1854423.13
Dim_06_060,1885137.07
Dim_06_061,1915851.01
Dim_06_062,1946564.95
Dim_06_063,1977278.89
Dim_06_064,2007992.83
Dim_06_065,2038706.77
Dim_06_066,2069420.71
Dim_06_067,2100134.65
Dim_06_068,2130848.6
Dim_06_069,2161562.54
Dim_06_070,2192276.48
Dim_06_071,2222990.42
Dim_06_072,2253704.36
Dim_06_073,2284418.3
Dim_06_074,2315132.24
Dim_06_075,2345846.18
Dim_06_076,2376560.12
Dim_06_077,2407274.06
Dim_06_078,2437988
Dim_06_079,2468701.94
Dim_06_080,2499415.88
Dim_06_081,2530129.82
Dim_06_082,2560843.76
Dim_06_083,2591557.7
Dim_06_084,2622271.64
Dim_06_085,2652985.58
Dim_06_086,2683699.52
Dim_06_087,2714413.46
Dim_06_088,2745127.4
Dim_06_089,2775841.35
Dim_06_090,2806555.29
Dim_06_091,2837269.23
Dim_06_092,2867983.17
Dim_06_093,2898697.11
Dim_06_094,2929411.05
Dim_06_095,2960124.99
Dim_06_096,2990838.93
Dim_06_097,3021552.87
Dim_06_098,3052266.81
Dim_06_099,3082980.75
Dim_06_100,3113694.69
Dim_06_101,3144408.63
Dim_06_102,3175122.57
Dim_06_103,3205836.51
Dim_06_104,3236550.45
Dim_06_105,3267264.39
Dim_06_106,3297978.33
Dim_06_107,3328692.27
Dim_06_108,3359406.21
Dim_06_109,3390120.15
Dim_06_110,3420834.1
Dim_06_111,3451548.04
Dim_06_112,3482261.98
Dim_06_113,3512975.92
Dim_06_114,3543689.86
Dim_06_115,3574403.8
Dim_06_116,3605117.74
Dim_06_117,3635831.68
Dim_06_118,3666545.62
Dim_06_119,3697259.56
Dim_06_120,3727973.5
Dim_06_121,3758687.44
Dim_06_122,3789401.38
Dim_06_123,3820115.32
Dim_06_124,3850829.26
Dim_06_125,3881543.2
Dim_06_126,3912257.14
Dim_06_127,3942971.08
Dim_06_128,3973685.02
Dim_06_129,4004398.96
Dim_06_130,4035112.9
Dim_06_131,4065826.85
Dim_06_132,4096540.79
Dim_06_133,4127254.73
Dim_06_134,4157968.67
Dim_06_135,4188682.61
Dim_06_136,4219396.55
Dim_06_137,4250110.49
Dim_06_138,4280824.43
Dim_06_139,4311538.37
Dim_06_140,4342252.31
Dim_06_141,4372966.25
Dim_06_142,4403680.19
Dim_06_143,4434394.13
Dim_06_144,4465108.07
Dim_06_145,4495822.01
Dim_06_146,4526535.95
Dim_06_147,4557249.89
Dim_06_148,4587963.83
Dim_06_149,4618677.77
Dim_06_150,4649391.71
Dim_06_151,4680105.65
Dim_06_152,4710819.6
Dim_06_153,4741533.54
Dim_06_154,4772247.48
Dim_06_155,4802961.42
Dim_06_156,4833675.36
Dim_06_157,4864389.3
Dim_06_158,4895103.24
Dim_06_159,4925817.18
Dim_06_160,4956531.12
Dim_06_161,4987245.06
Dim_06_162,5017959
Dim_06_163,5048672.94
