Dim_08_id,value_dim08
Dim_08_001,100202
Dim_08_002,50334
Dim_08_003,30004
Dim_08_004,340040
Dim_08_005,50223
Dim_08_006,450050
Dim_08_007,200022
Dim_08_008,223232
Dim_08_009,318726.11
Dim_08_010,349440.05
Dim_08_011,380153.99
Dim_08_012,410867.93
Dim_08_013,441581.87
Dim_08_014,472295.81
Dim_08_015,503009.75
Dim_08_016,533723.69
Dim_08_017,564437.63
Dim_08_018,595151.57
Dim_08_019,625865.51
Dim_08_020,656579.45
Dim_08_021,687293.39
Dim_08_022,718007.33
Dim_08_023,748721.27
Dim_08_024,779435.21
Dim_08_025,810149.15
Dim_08_026,840863.1
Dim_08_027,871577.04
Dim_08_028,902290.98
Dim_08_029,933004.92
Dim_08_030,963718.86
Dim_08_031,994432.8
Dim_08_032,1025146.74
Dim_08_033,1055860.68
Dim_08_034,1086574.62
Dim_08_035,1117288.56
Dim_08_036,1148002.5
Dim_08_037,1178716.44
Dim_08_038,1209430.38
Dim_08_039,1240144.32
Dim_08_040,1270858.26
Dim_08_041,1301572.2
Dim_08_042,1332286.14
Dim_08_043,1363000.08
Dim_08_044,1393714.02
Dim_08_045,1424427.96
Dim_08_046,1455141.9
Dim_08_047,1485855.85
Dim_08_048,1516569.79
Dim_08_049,1547283.73
Dim_08_050,1577997.67
Dim_08_051,1608711.61
Dim_08_052,1639425.55
Dim_08_053,1670139.49
Dim_08_054,1700853.43
Dim_08_055,1731567.37
Dim_08_056,1762281.31
Dim_08_057,1792995.25
Dim_08_058,1823709.19
Dim_08_059,1854423.13
Dim_08_060,1885137.07
Dim_08_061,1915851.01
Dim_08_062,1946564.95
Dim_08_063,1977278.89
Dim_08_064,2007992.83
Dim_08_065,2038706.77
Dim_08_066,2069420.71
Dim_08_067,2100134.65
Dim_08_068,2130848.6
Dim_08_069,2161562.54
Dim_08_070,2192276.48
Dim_08_071,2222990.42
Dim_08_072,2253704.36
Dim_08_073,2284418.3
Dim_08_074,2315132.24
Dim_08_075,2345846.18
Dim_08_076,2376560.12
Dim_08_077,2407274.06
Dim_08_078,2437988
Dim_08_079,2468701.94
Dim_08_080,2499415.88
Dim_08_081,2530129.82
Dim_08_082,2560843.76
Dim_08_083,2591557.7
Dim_08_084,2622271.64
Dim_08_085,2652985.58
Dim_08_086,2683699.52
Dim_08_087,2714413.46
Dim_08_088,2745127.4
Dim_08_089,2775841.35
Dim_08_090,2806555.29
Dim_08_091,2837269.23
Dim_08_092,2867983.17
Dim_08_093,2898697.11
Dim_08_094,2929411.05
Dim_08_095,2960124.99
Dim_08_096,2990838.93
Dim_08_097,3021552.87
Dim_08_098,3052266.81
Dim_08_099,3082980.75
Dim_08_100,3113694.69
Dim_08_1000,30756241.12
Dim_08_1001,30786955.06
Dim_08_1002,30817669
Dim_08_1003,30848382.94
Dim_08_1004,30879096.88
Dim_08_1005,30909810.82
Dim_08_1006,30940524.76
Dim_08_1007,30971238.7
Dim_08_1008,31001952.64
Dim_08_1009,31032666.58
Dim_08_101,3144408.63
Dim_08_1010,31063380.52
Dim_08_1011,31094094.46
Dim_08_1012,31124808.4
Dim_08_1013,31155522.35
Dim_08_1014,31186236.29
Dim_08_1015,31216950.23
Dim_08_1016,31247664.17
Dim_08_1017,31278378.11
Dim_08_1018,31309092.05
Dim_08_1019,31339805.99
Dim_08_102,3175122.57
Dim_08_1020,31370519.93
Dim_08_1021,31401233.87
Dim_08_1022,31431947.81
Dim_08_1023,31462661.75
Dim_08_1024,31493375.69
Dim_08_1025,31524089.63
Dim_08_1026,31554803.57
Dim_08_1027,31585517.51
Dim_08_1028,31616231.45
Dim_08_1029,31646945.39
Dim_08_103,3205836.51
Dim_08_1030,31677659.33
Dim_08_1031,31708373.27
Dim_08_1032,31739087.21
Dim_08_1033,31769801.15
Dim_08_1034,31800515.1
Dim_08_1035,31831229.04
Dim_08_1036,31861942.98
Dim_08_1037,31892656.92
Dim_08_1038,31923370.86
Dim_08_1039,31954084.8
Dim_08_104,3236550.45
Dim_08_1040,31984798.74
Dim_08_1041,32015512.68
Dim_08_1042,32046226.62
Dim_08_1043,32076940.56
Dim_08_1044,32107654.5
Dim_08_1045,32138368.44
Dim_08_1046,32169082.38
Dim_08_1047,32199796.32
Dim_08_1048,32230510.26
Dim_08_1049,32261224.2
Dim_08_105,3267264.39
Dim_08_1050,32291938.14
Dim_08_1051,32322652.08
