location_id,region,country,population,density
101,Northland,New Zealand,201500,16.110000610351562
102,Auckland,New Zealand,1695200,343.0899963378906
103,Waikato,New Zealand,513800,21.5
104,Bay of Plenty,New Zealand,347700,28.799999237060547
105,Gisborne,New Zealand,52100,6.210000038146973
106,Hawke's Bay,New Zealand,182700,12.920000076293945
107,Taranaki,New Zealand,127300,17.549999237060547
108,Manawatū-Whanganui,New Zealand,258200,11.619999885559082
109,Wellington,New Zealand,543500,67.5199966430664
110,Tasman,New Zealand,58700,6.099999904632568
111,Nelson,New Zealand,54500,129.14999389648438
112,Marlborough,New Zealand,51900,4.940000057220459
113,West Coast,New Zealand,32700,1.409999966621399
114,Canterbury,New Zealand,655000,14.720000267028809
115,Otago,New Zealand,246000,7.889999866485596
116,Southland,New Zealand,102400,3.2799999713897705
